,time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
0,2018-12-02T00:00:00.0000000Z,2018-12-03T00:00:00.0000000Z,2018-12-02T01:38:07.2970000Z,2018-12-02T23:41:09.4970000Z,480431,480431,466806,466806,0.2554325,6
1,2018-12-03T00:00:00.0000000Z,2018-12-04T00:00:00.0000000Z,2018-12-03T00:30:21.2550000Z,2018-12-03T21:54:42.3770000Z,463000,465967,430656,439490,3.48783532,56
2,2018-12-04T00:00:00.0000000Z,2018-12-05T00:00:00.0000000Z,2018-12-04T00:11:00.5710000Z,2018-12-04T21:28:03.5890000Z,432717,452754,427151,441441,1.27447848,52
3,2018-12-05T00:00:00.0000000Z,2018-12-06T00:00:00.0000000Z,2018-12-05T07:45:48.9230000Z,2018-12-05T23:48:45.4060000Z,432895,432895,417692,417692,0.9899971700000001,18
4,2018-12-06T00:00:00.0000000Z,2018-12-07T00:00:00.0000000Z,2018-12-06T00:03:14.8570000Z,2018-12-06T22:38:13.9350000Z,421155,432716,401743,404198,2.21880561,68
5,2018-12-07T00:00:00.0000000Z,2018-12-08T00:00:00.0000000Z,2018-12-07T00:12:53.8610000Z,2018-12-07T23:52:23.4350000Z,391222,398833,350155,378782,4.5494012900000005,106
6,2018-12-08T00:00:00.0000000Z,2018-12-09T00:00:00.0000000Z,2018-12-08T00:16:15.4080000Z,2018-12-08T22:54:29.4850000Z,384464,393269,360682,378774,2.76768291,105
7,2018-12-09T00:00:00.0000000Z,2018-12-10T00:00:00.0000000Z,2018-12-09T11:38:09.0130000Z,2018-12-09T14:55:53.8860000Z,387266,390761,387266,390761,0.04360573,2
8,2018-12-10T00:00:00.0000000Z,2018-12-11T00:00:00.0000000Z,2018-12-10T13:23:32.8740000Z,2018-12-10T13:23:32.8740000Z,404474,404474,404474,404474,0.2,1
9,2018-12-11T00:00:00.0000000Z,2018-12-12T00:00:00.0000000Z,2018-12-11T10:45:16.3340000Z,2018-12-11T23:42:19.8060000Z,378138,384604,375860,380385,0.8889870000000001,22
10,2018-12-12T00:00:00.0000000Z,2018-12-13T00:00:00.0000000Z,2018-12-12T11:07:59.1990000Z,2018-12-12T19:34:52.6580000Z,390033,393885,387887,390184,0.65288888,18
11,2018-12-13T00:00:00.0000000Z,2018-12-14T00:00:00.0000000Z,2018-12-13T01:16:10.5340000Z,2018-12-13T21:19:02.0710000Z,388683,388684,371538,371543,0.8005232600000001,22
12,2018-12-14T00:00:00.0000000Z,2018-12-15T00:00:00.0000000Z,2018-12-14T00:29:45.0900000Z,2018-12-14T23:44:53.4550000Z,373701,373924,360730,367884,1.40878646,35
13,2018-12-15T00:00:00.0000000Z,2018-12-16T00:00:00.0000000Z,2018-12-15T09:20:01.5190000Z,2018-12-15T21:09:09.7240000Z,362341,362373,357865,361185,0.73413585,10
14,2018-12-16T00:00:00.0000000Z,2018-12-17T00:00:00.0000000Z,2018-12-16T06:24:25.8280000Z,2018-12-16T19:53:02.5600000Z,366507,372312,365042,372312,1.51207,17
